"TAG","Volume  de recherche","TAG 1","TAG 2","TAG 3","TAG 4"
"infrastructure 3D-Secure 2.0","0","Sécurité","Cybersécurité","sécurité des infrastructures IT","3D Secure 2"
"AWS Cloud Adoption Framework","30","Software","Amazon","AWS","Cloud Computing"
"MindSphere","170","Software","IOT","OS","Cloud Computing"
"Data Hub","880","Science des données","Big Data","Data Storage","Data Hub"
"Data lake","5400","Science des données","Big Data","Data Storage","Data lake"
"data lakes","","Science des données","Big Data","Data Storage","Data lake"
"data warehouse","3600","Science des données","Big Data","Data Storage","Data Warehouse"
"Data Warehouse Automation","10","Science des données","Big Data","Data Storage","Data Warehouse"
"collaboration client/entreprise","0","Marketing","Client","Fidélisation du client","Engagement client"
"engagement client","210","Marketing","Client","Fidélisation du client","Engagement client"
"IAM","60500","Sécurité","Gestion des identités et des accès","GIA","IAM"
"Greengrass","590","Software","Amazon","AWS","IOT"
"Lightning Network","390","Finance","Fintech","Cryptomonnaie","Lightning Network"
"Operational Level Agreement","40","ITIL","Service Design","SLM","Operational Level Agreement"
"OLA","9900","ITIL","Service Design","SLM","Operational-level agreement"
"Parcours client","3600","Marketing","Client","Comportement consommateur","Parcours client"
"parcours clients","3600","Marketing","Client","Comportement consommateur","Parcours client"
"Profils clients","480","Marketing","Client","Connaissance Client","Porfils Clients"
"qualification des clients","0","Marketing","Client","Acquisition Client","Qualification clients"
"Service client","18100","Marketing","Client","Fidélisation du client","Service client"
"Service clients","18100","Marketing","Client","Fidélisation du client","Service client"
"services centrés sur le client","0","Marketing","Client","Fidélisation du client","Service client"
"services client","0","Marketing","Client","Fidélisation du client","Service client"
"services clients","0","Marketing","Client","Fidélisation du client","Service client"
"Service Level Agreement","1000","ITIL","Service Design","SLM","Service Level Agreement"
"support client","480","Marketing","Client","Fidélisation du client","Support client"
"Unified Threat Management","50","Sécurité","Cybérsécurité","UTM","Unified Threat Management"
"VDI","18100","Cloud Computing","Virtualisation","Virtual Machine","Virtual Desktop Infrastructure"
"5G","49500","Téchnologie","Télécomunication","5G",""
"Yellowfin","170","Software","BI","Analytics",""
"AML","3600","Banque","KYC","Anti-Money Laundering",""
"AWS","60500","Software","Amazon","AWS",""
"AWS Migration Hub","30","Software","Amazon","AWS",""
"AWS Outposts","110","Software","Amazon","AWS",""
"Cloud Adoption Readiness Tool","10","Software","Amazon","AWS",""
"Migration Evaluator","10","Software","Amazon","AWS",""
"Outposts","0","Software","Amazon","AWS",""
"S3","9900","Software","Amazon","AWS",""
"Azure IoT Suite","10","Software","Azure","Azure IoT Suite",""
"Azure Maps","90","software","Azure","Azure Maps",""
"budgets IT","0","Comptabilité","Gestion budgétaire","Budget IT",""
"callbot","260","Artificial intelligence","Bot","Callbot",""
"Certified Cloud Security Professional","20","Sécurité","Cybersécurité","Certifications",""
"Certified Ethical Hacker","1600","Sécurité","Cybersécurité","Certifications",""
"Certified Information Security Auditor","10","Sécurité","Cybersécurité","Certifications",""
"Certified Information Security Manager","10","Sécurité","Cybersécurité","Certifications",""
"chatbot","14800","Artificial intelligence","Bot","Chatbot",""
"Chatbots","0","Artificial intelligence","Bot","Chatbot",""
"arbre de Merkle","40","Sécurité","Cyptographie","Chiffrement",""
"chiffrement","1000","Sécurité","Cyptographie","Chiffrement",""
"Chiffrement des données","170","Sécurité","Cyptographie","Chiffrement",""
"clé de chiffrement","320","Sécurité","Cyptographie","Chiffrement",""
"cryptage","1600","Sécurité","Cyptographie","Chiffrement",""
"cryptographie","4400","Sécurité","Cyptographie","Chiffrement",""
"hachage cryptographique","90","Sécurité","Cyptographie","Chiffrement",""
"GCP","9900","Software","Google","Cloud Computing",""
"CMOS","2400","Hardware","Composants électroniques","CMOS",""
