Term ID;Term Name;Term Slug;Description;Parent ID;Parent Name;Parent Slug;Count
;Directeur informatique - DSI;directeur-informatique-dsi;Directeur informatique - DSI;0;;;0
;Responsable applicatif;responsable-applicatif;Responsable applicatif;0;;;0
;Responsable infrastructure;responsable-infrastructure;Responsable infrastructure;0;;;0
;Responsable fournisseurs;responsable-fournisseurs;Responsable fournisseurs;;;;
;Autres membres de l'équipe IT;autres-membres-equipe-it;Autres membres de l'équipe IT;;;;
;Directeur digital;directeur-digital;Directeur digital;;;;
;Responsable BI/DATA;responsable-bi-data;Responsable BI/DATA;;;;
;Responsable produit;responsable-produit;Responsable produit;;;;
;Directeur général;directeur-general;Directeur général;;;;
;Responsable sécurité RSSI;responsable-securite-rssi;Responsable sécurité RSSI;;;;
;Directeur Commercial;directeur-commercial;Directeur Commercial;;;;
;Directeur Administratif et Financier;directeur-administratif-et-financier;Directeur Administratif et Financier;;;;
;Directeur RH;directeur-rh;Directeur RH;;;;
;Directeur Marketing;directeur-marketing;Directeur Marketing;;;;
;Directeur Supply chain;directeur-supply-chain;Directeur Supply chain;;;;
;Directeur Industrielles;directeur-industrielles;Directeur Industrielles;;;;
;Directeur Logistique;directeur-logistique;Directeur Logistique;;;;
;Directeur Organisation;directeur-organisation;Directeur Organisation;;;;
;Directeur Qualité;directeur-qualite;Directeur Qualité;;;;
;Directeur Achats;directeur-achats;Directeur Achats;;;;
;Directeur des opérations;directeur-des-operations;Directeur des opérations;;;;
;Directeur Technique - CTO;directeur-technique-cto;Directeur Technique - CTO;;;;
;Secrétaire Général;secretaire-general;Secrétaire Général;;;;
;Président;president;Président;;;;
;Directeur de la communication;directeur-de-la-communication;Directeur de la communication;;;;
;Directeur des Services Clients;directeur-des-services-clients;Directeur des Services Clients;;;;
;Directeur Etudes et Développement;directeur-etudes-et-developpement;Directeur Etudes et Développement;;;;
